code	name	address
GUEST	University Guest House	110 Fort Douglas Blvd, Salt Lake City, UT 84113-5036
H ARCH	Hoberman Arch	1495 E 500 S, Salt Lake City, UT 84112
HAN PL	Hansen Planetarium	15 S State, Salt Lake City, UT 84111
HANPUB	Hansen Planetarium Publications	1845 S 300 W, Salt Lake City, UT 84115
HBF	Jon M. and Karen Huntsman Basketball Facility	294 South 1850 East, Salt Lake City, UT 84112
HCH	Huntsman Cancer Hospital	1950 Circle Of Hope, Salt Lake City, UT 84112
HCH V	Kathryn F. Kirk Center for Comprehensive Cancer Care and Women's Cancers	1900 E. Circle Of Hope, Salt Lake City, UT
HCI IV	Huntsman Cancer Institute - Primary Children's and Families' Cancer Research Center	100 North Circle Of Hope, Salt Lake City, UT 84112
HCI NORTH	Huntsman Cancer Institute	2000 Circle Of Hope, Salt Lake City, UT 84112
HCIG	Huntsman Cancer Institute Garage	1920 East North Campus Drive, Salt Lake City, UT 84112
HEAT M	Heating Maintenance	2032 Medical Dr S, Salt Lake City, UT 84112
HEB	Henry Eyring Chemistry Building	315 S 1400 E, Salt Lake City, UT 84112
HELI	Helipad Garage	150 N Medical Dr, Salt Lake City, UT 84112
HELIX	Healthcare, Educators, Leaders and Innovators Complex	30 No. Mario Capecchi Drive, Salt Lake City, UT
HMHI	Huntsman Mental Health Institute	501 Chipeta Way, Salt Lake City, UT 84108
HMHI TRB	Huntsman Mental Health Institute Translational Research Building	470 South Colorow Dr., Salt Lake City, UT
HON CTR	Fort Douglas Honors Center	1975 De Trobriand St, Salt Lake City, UT 84113
HOSPPL	Hospital Generating Plant	50 N Medical Dr, Salt Lake City, UT 84132
HOTEL	HSC Hotel & Mixed Use Facility	10 N Medical Dr, Salt Lake City, UT
HPEB	Dr. Ezekiel R. and Edna Wattis Dumke Health Professions Building	520 Wakara Way, Salt Lake City, UT 84108
HPR E	HPER East	260 S 1850 E, Salt Lake City, UT 84112
HPR N	HPER North	250 S 1850 E, Salt Lake City, UT 84112
HPR SE	HPER Building Mech S/E	298 S 1850 E, Salt Lake City, UT 84112
HPR SW	HPER Building Mech S/W	302 S 1850 E, Salt Lake City, UT 84112
HPR W	HPER West	290 S 1850 E, Salt Lake City, UT 84112
HPRNAT	HPER Natatorium	270 S 1850 E, Salt Lake City, UT 84112
HS CORE	HSC Core Research Facility	30 N 2030 E, Salt Lake City, UT 84112
HSO261	St. George Dialysis Clinic	700 S River Rd, St George, UT 84790
HSO262	Sandy Dialysis Clinic	8750 Sandy Pkwy, Sandy, UT 84070
HTW	High Temperature Water Plant	1705 E S Campus Dr, Salt Lake City, UT 84112
IHPE	Impact Health & Prosperity Epicenter Building	1755 East Student Life Way, Salt Lake City, UT
INSCC	Intermountain Network & Scientific Computation Center	155 S 1452 E, Salt Lake City, UT 84112
INSTPK	LDS Garage	1850 E S Campus Dr, Salt Lake City, UT 84112
IUH	Ivory University House	434 S. Mario Capecchi Drive, Salt Lake City, UT 84111
JFB	James C. Fletcher Building	115 S 1400 E, Salt Lake City, UT 84112
JHC	Jon M. Huntsman Center	1825 East Campus Dr, Salt Lake City, UT 84112
JNPR	Juniper Building	3852 W Real Vista Drive, Herriman, UT 84096
JTB	James Talmage Building	1430 Presidents Cir, Salt Lake City, UT 84112
JWB	John A. Widtsoe Building	155 S 1400 E, Salt Lake City, UT 84112
KBAC	Kenneth P. Burbidge, Jr., Family Athletics Academic Center	296 S 1850 E, Salt Lake City, UT 84112
KDGB	Ken Garff Building (Demolished 2012)	1645 Campus Ctr Dr, Salt Lake City, UT 84112
KH	Joseph T. Kingsbury Hall	1395 Presidents Cir, Salt Lake City, UT 84112
KV	Kahlert Village South Campus Student Housing	265 South 1850 East, Salt Lake City, UT 84112
LAW	S.J.Quinney College of Law	383 South University Street, Salt Lake City, UT 84112
LCB	LeRoy E. Cowles Building	1425 Presidents Cir, Salt Lake City, UT 84112
LEAP HOUSE	LEAP House	125 Connor Rd, Salt Lake City, UT 84113
LEB	Alan W. Layton Engineering Building	124 Central Campus Dr, Salt Lake City, UT 84112
LGA	David S. Layton Golf Academy	595 S.guardsman Way, Salt Lake City, UT 84108
LIB SG	Library Storage	666 Guardsman Way, Salt Lake City, UT 84108
LNCO	Language & Communication Building	255 Central Campus Dr, Salt Lake City, UT 84112
LS	Life Science Building	255 S 1400 E, Salt Lake City, UT 84112
LSND	Lassonde Studios	1701 Student Life Way, Salt Lake City, UT 84112
LSSB	L.S. Skaggs Applied Science Building	275 S University Street, Salt Lake City, UT 84112
M LI	J. Willard Marriott Library	295 S 1500 E, Salt Lake City, UT 84112
M LIB	J. Willard Marriott Library	295 S 1500 E, Salt Lake City, UT 84112
MACHSH	Hosp Eng Machine Shop (demolished)	15 S 2000 E, Salt Lake City, UT 84112
MATH O	Math Office Bldg (demolished 2000)	160 S 1452 E, Salt Lake City, UT 84112
MATH/P	Math Office/Physics (demolished )	1415 E Presidents Cir, Salt Lake City, UT 84112
