code	name	address
102 T	102 Tower	102 South 200 East, Salt Lake City, UT 84111
250 TOWER	250 Tower	250 East 200 South, Salt Lake City, UT 84111
295 CH	295 Chipeta Way	295 Chipeta Way, Salt Lake City, UT 84108
360 WA	360 Wakara Way	360 Wakara Way, Salt Lake City, UT 84108
375 CH	375 Chipeta Way	375 Chipeta Way, Salt Lake City, UT 84108
383 CO	383 Colorow Drive	383 Colorow Dr, Salt Lake City, UT 84108
390 WA	390 Wakara Way	390 Wakara Way, Salt Lake City, UT 84108
391 CH	391 Chipeta Way	391 Chipeta Way, Salt Lake City, UT 84108
400 WA	400 Wakara Way	400 Wakara Way, Salt Lake City, UT 84108
410 CH	410 Chipeta Way	410 Chipeta Way, Salt Lake City, UT 84108
417 WA	417 Wakara Way	417 Wakara Way, Salt Lake City, UT 84108
419 WA	419 Wakara Way	419 Wakara Way, Salt Lake City, UT 84108
420 CH	420 Chipeta Way	420 Chipeta Way, Salt Lake City, UT 84108
420 WA	420 Wakara	420 Wakara Way, Salt Lake City, UT 84108
421 WA	421 Wakara Way	421 Wakara Way, Salt Lake City, UT 84108
423 WA	423 Wakara Way	423 Wakara Way, Salt Lake City, UT 84108
44	Office Building 44	290 S 1500 E, Salt Lake City, UT 84112
480 WA	480 Wakara Way (U Park Hotel)	480 Wakara Way, Salt Lake City, UT 84108
497 CO	497 Colorow Drive (PCRTC)	497 Colorow Dr, Salt Lake City, UT 84108
500 CH	500 Chipeta Way (ARUP)	500 Chipeta Way, Salt Lake City, UT 84108
500 HUU	500 Huntsman Way (Huntsman Corp)	500 Huntsman Way, Salt Lake City, UT 84108
505 WA	505 Wakara Way	505 Wakara Way, Salt Lake City, UT 84108
515 COLOROW	BioFire Diagnostics Building	515 Colorow Way, Salt Lake City, UT 84108
560 AR	560 Arapeen Dr	560 Arapeen Dr, Salt Lake City, UT 84108
575 CH	575 Chipeta Way (Watson Labs)	575 Chipeta Way, Salt Lake City, UT 84108
577 CH	577 Chipeta Way (Watson Labs)	577 Chipeta Way, Salt Lake City, UT 84108
585 KO	585 Komas (Consolidated Data Ctr)	585 Komas, Salt Lake City, UT 84108
600 KO	600 Komas	600 Komas, Salt Lake City, UT 84108
606 BH	606 Blackhawk	606 Blackhawk Way, Salt Lake City, UT 84108-1203
610 BH	606A Blackhawk	610 Blackhawk Way, Salt Lake City, UT 84108-1203
615 AR	615 Arapeen (Paradigm 1)	615 Arapeen Dr., Salt Lake City, UT 84108
650 KO	650 Komas	650 Komas, Salt Lake City, UT 84108
675 AR	675 Arapeen Drive (Paradigm II)	675 Arapeen Dr, Salt Lake City, UT 84108
729 AR	729 Arapeen Drive (INC)	729 Arapeen Dr, Salt Lake City, UT 84108
770 KO	770 Komas (Evans & Sutherland)	770 Komas, Salt Lake City, UT 84108
ACC	Acute Care Complex (Area E)	37 North 2000 East, Salt Lake City, UT 84112
ACC5	Reserved for accounting purposes	
ACCEL	Accelerator Building (now part of Bldg 83)	131 S 1400 E, Salt Lake City, UT 84112
ACCG	Ambulatory Care Center Garage	60 N Wasatch Dr - 20 N Wasatch Dr, Salt Lake City, UT 84112
ACCT	Reserved for Acct. Purposes	Salt Lake City, UT 84112
ADP SG	ADP Storage (demolished '96)	Salt Lake City, UT 84112
AEB	Alfred C. Emery Building	225 S 1400 E, Salt Lake City, UT 84112
AFB	America First Ballpark	725 South Guardsman Way, Salt Lake City, UT 84108
AIRMED DAVIS	AirMed Helipad at the Davis Hospital & Medical Center	1600 West Antelope Drive, Layton, UT 84041
AIRMED NEPHI	AirMed Helipad at the Central Valley Hospital	48 West 1500 North, Nephi, UT 84648
AIRMED SWEETWATER	AirMed Helipad at the Memorial Hospital of Sweetwater County	1200 College Drive, Rock Springs, WY 82901
ALUMNI	Cleone Peterson Eccles Alumni House	155 S. Central Campus Dr, Salt Lake City, UT 84112
ANNEX	Annex General Office	1901 E S Campus Dr, Salt Lake City, UT 84112
ARCH	Architecture Building	375 S 1530 E, Salt Lake City, UT 84112
ART	Art Building	375 S 1530 E, Salt Lake City, UT 84112
ARUP	546 Chipeta Way (ARUP)	546 Chipeta Way, Salt Lake City, UT 84108
ASB	Aline Wilmot Skaggs Biology Building	259 S 1400 E, Salt Lake City, UT 84112
ATC	American Towers Condominium	44 West Broadway, Salt Lake City, UT 84101
ATMOS	Atmospheric Sciences - Mountain Meteorology Lab	2185 Red Butte Rd, Salt Lake City, UT 84112
AUSTIN	Myrtle Austin Hall (Demolished 2006)	1775 Austin Rd, Salt Lake City, UT 84112
B - 3658	Salt Lake City Department of Airports	776 North Terminal Drive, Salt Lake City, UT 84122
B 102	Physical Therapy (Demolished 2001)	
B 111	McCarthey Family Track and Field Storage Building	98 S. Wasatch Dr, Salt Lake City, UT 84112
B 115	Trailhead  Housing	315 S. 1850 E., Salt Lake City, UT
B 117	American Campus Communities WEST (TBD)	Salt Lake City, UT
B 118	Soccer Field Ticket Office	Tbd, Salt Lake City, UT 84112
B 127	CoS Storage (TBD)	305 S 1400 E (tbd), Salt Lake City, UT 84112
B 149	North Campus Chiller Plant	101 South Central Campus Drive, Salt Lake City, UT 84112
B 15	Dance (Demolished 1996)	
B 150	Reserved for USTAR building complex	?, Salt Lake City, UT 84112
B 160	The University Ward (TBD)	160 S University St, Salt Lake City, UT
B 182	Meldrum House	200 S 1300 E, Salt Lake City, UT 84102
B 20	Physics/Ceramics (demolished 1994)	
B 2000	Utah System Higher Education	3 Triad Center Ste 550, Salt Lake City, UT 84180-1205
B 2001	Data Chem (now Bldg 3001)	960 W Lavoy Dr, Salt Lake City, UT 84123-2500
B 2002	Park City Radio (now Bldg 3002)	Po Box 1372, Park City, UT 84060-1372
B 2003	US Attorney's Office (now Bldg 3003)	185 S State Street, Rm 400, Salt Lake City, UT 84111-1552
B 2004	Children's Behavior Therapy (now Bldg 3004)	668 S 1300 E, Salt Lake City, UT 84102-3244
B 2005	Neighborhood House (now Bldg 3005)	1050 W 500, Salt Lake City, UT 84104-1319
B 2006	Utah Sch for Deaf and Blind (now Bldg 3006)	1838 S 1500 E, Salt Lake City, UT 84105-3837
B 2007	Sugarhouse Boy's Club (now Bldg 3007)	968 Sugarmont, Salt Lake City, UT 84106-2300
B 2008	Murray Boy's Club (now Bldg 3008)	244 Vine Street, Salt Lake City, UT 84107-4935
B 2009	Jewish Comm Center (now Bldg 3009)	2416 E 1700 S, Salt Lake City, UT 84108-2799
B 201	Reallocatable building number	
B 2010	Utah Zoological Society (now Bldg 3010)	2600 Sunnyside Dr, Salt Lake City, UT 84108-1454
B 2011	Alcohol and Drugs (now Bldg 3011)	Po Box 2604, Salt Lake City, UT 84110-2604
B 2012	Office of Legislature Research (now Bldg 3012)	350 N State, Salt Lake City, UT 84114-1103
B 2013	Gerentology (now Bldg 3013)	1991 S 200 E, Salt Lake City, UT 84115-2138
B 2014	Rape Crisis Center (now Bldg 3014)	776 W 200 N, Salt Lake City, UT 84116-3312
B 2015	2nd Juvenile Court (now Bldg 3015)	Salt Lake City, UT
B 2016	Utah Educ Loan System (now Bldg 3016)	Po Box 31802, Salt Lake City, UT
B 2017	Plastic Surgery/Thomas (now Bldg 3017)	370 E 9th Ave #200, Salt Lake City, UT 84103-2880
B 2018	NW Family Practice (now Bldg 3018)	3060 Lester, Salt Lake City, UT 84119-3099
B 2019	Plastic Surgery/Digman (now Bldg 3019)	24 S 1100 E #20, Salt Lake City, UT 84102-1500
B 2020	Andrology (now Bldg 3020)	1121 E 3900 S, Ste C130, Salt Lake City, UT 84124-1261
B 2021	U Hospital Foundation (now Bldg 3021)	420 E S Temple #370, Salt Lake City, UT 84111-1327
B 2022	Courthouse (now Bldg 3022)	350 S Main, Salt Lake City, UT 84101-2106
B 2023	Utah Legal Services (now Bldg 3023)	254 W 400 S, Salt Lake City, UT 84101-1823
B 2024	Salt Lake Acting Company (now Bldg 3024)	168 W 500 N, Salt Lake City, UT 84103-1762
B 2025	Justice Bldg-Pretrial Services (now Bldg 3025)	424 E 500 S, Ste 200, Salt Lake City, UT 84111-3337
B 2026	AOCE - Bountiful Site	75 E 200 S, Bountiful, UT 84010-6215
B 2027	Children's Museum of Utah (now Bldg 3027)	840 N 300 W, Salt Lake City, UT 84103-1413
B 2028	YWCA (now Bldg 3028)	322 E 300 S, Salt Lake City, UT 84111-2699
B 2029	US Attorney District of Utah (now Bldg 3029)	185 S Ste 400, Salt Lake City, UT 84101-1506
B 2030	Reserved for Scheduling--archival	
B 2031	Reserved for Scheduling--archival	
B 2032	Reserved for Scheduling--archival	
B 2033	Reserved for Scheduling--archival	
B 2034	Reserved for Scheduling--archival	
B 2035	Reserved for Scheduling--archival	
B 2036	Reserved for Scheduling--archival	
B 2037	Reserved for Scheduling--archival	
B 2038	Reserved for Scheduling--archival	
B 2039	Reserved for Scheduling--archival	
B 2040	Reserved for Scheduling--archival	
B 2041	Reserved for Scheduling--archival	
B 2042	AOCE - Sandy Site (now 3195)	9875 S 240 W, Sandy, UT 84070
B 2043	Reserved for Scheduling--archival	
B 2044	Reserved for Scheduling--archival	
B 2045	Reserved for Scheduling--archival	
B 2046	Reserved for Scheduling--archival	
B 2047	Reserved for Scheduling--archival	
B 2048	Reserved for Scheduling--archival	
B 2049	Reserved for Scheduling--archival	
B 2050	Reserved for Scheduling--archival	
B 2051	Reserved for Scheduling--archival	
B 2052	Reserved for Scheduling--archival	
B 2053	Reserved for Scheduling--archival	
B 2054	Reserved for Scheduling--archival	
B 2055	Reserved for Scheduling--archival	
B 2056	Reserved for Scheduling--archival	
B 2057	Reserved for Scheduling--archival	
B 2058	Reserved for Scheduling--archival	
B 2059	Reserved for Scheduling--archival	
B 2060	Reserved for Scheduling--archival	
B 2061	Reserved for Scheduling--archival	
B 2062	Reserved for Scheduling--archival	
B 2063	Reserved for Scheduling--archival	
B 2064	Reserved for Scheduling--archival	
B 2065	Reserved for Scheduling--archival	
B 2066	Reserved for Scheduling--archival	
B 2067	Reserved for Scheduling--archival	
B 2068	Reserved for Scheduling--archival	
B 2069	Reserved for Scheduling--archival	
B 2070	Reserved for Scheduling--archival	
B 2071	Reserved for Scheduling--archival	
B 2072	Reserved for Scheduling--archival	
B 2073	Reserved for Scheduling--archival	
B 2074	Reserved for Scheduling--archival	
B 2075	Reserved for Scheduling--archival	
B 2076	Reserved for Scheduling--archival	
B 2077	Foreign - Out of USA	
B 2078	Reserved for Scheduling--archival	
B 2079	Reserved for Scheduling--archival	
B 2080	Reserved for Scheduling--archival	
B 2081	Reserved for Scheduling--archival	
B 2082	Reserved for Scheduling--archival	
B 2083	Reserved for Scheduling--archival	
B 2084	Reserved for Scheduling--archival	
B 2085	Reserved for Scheduling--archival	
B 2086	Reserved for Scheduling--archival	
B 2087	Reserved for Scheduling--archival	
B 2088	Reserved for Scheduling--archival	
B 2089	Reserved for Scheduling--archival	
B 2090	Reserved for Scheduling--archival	
B 2091	Reserved for Scheduling--archival	
B 2092	Reserved for Scheduling--archival	
B 2093	Reserved for Scheduling--archival	
B 2094	Reserved for Scheduling--archival	
B 2095	Reserved for Scheduling--archival	
B 2096	Reserved for Scheduling--archival	
B 2097	Reserved for Scheduling--archival	
B 2098	Reserved for Scheduling--archival	
B 2099	Reserved for Scheduling--archival	
B 21	Applied Research	
B 2100	Reserved for Scheduling--archival	
B 2101	Reserved for Scheduling--archival	
B 2102	Reserved for Scheduling--archival	
B 2103	Reserved for Scheduling--archival	
B 2104	Reserved for Scheduling--archival	
B 2105	Reserved for Scheduling--archival	
B 2106	Reserved for Scheduling--archival	
B 2107	Reserved for Scheduling--archival	
B 2108	Reserved for Scheduling--archival	
B 2109	Reserved for Scheduling--archival	
B 2110	Reserved for Scheduling--archival	
B 2111	Reserved for Scheduling--archival	
B 2112	Reserved for Scheduling--archival	
B 2113	Reserved for Scheduling--archival	
B 2114	Reserved for Scheduling--archival	
B 2115	Reserved for Scheduling--archival	
B 2116	Reserved for Scheduling--archival	
B 2117	Reserved for Scheduling--archival	
B 2118	Reserved for Scheduling--archival	
B 2119	Reserved for Scheduling--archival	
B 2120	Reserved for Scheduling--archival	
B 2121	Reserved for Scheduling--archival	
B 2122	Reserved for Scheduling--archival	
B 2123	Reserved for Scheduling--archival	
B 2124	Reserved for Scheduling--archival	
B 2125	Reserved for Scheduling--archival	
B 2126	Reserved for Scheduling--archival	
B 2127	Reserved for Scheduling--archival	
B 2128	Reserved for Scheduling--archival	
B 2129	Reserved for Scheduling--archival	
B 2130	Reserved for Scheduling--archival	
B 2131	Reserved for Scheduling--archival	
B 2132	Moab	UT
B 2133	Reserved for Scheduling--archival	
B 2134	Reserved for Scheduling--archival	
B 2135	Reserved for Scheduling--archival	
B 2136	Reserved for Scheduling--archival	
B 2137	Reserved for Scheduling--archival	
B 2138	Reserved for Scheduling--archival	
B 2139	Reserved for Scheduling--archival	
B 2140	Reserved for Scheduling--archival	
B 2141	Reserved for Scheduling--archival	
B 2142	Reserved for Scheduling--archival	
B 2143	Reserved for Scheduling--archival	
B 2144	Reserved for Scheduling--archival	
B 2145	Reserved for Scheduling--archival	
B 2146	Reserved for Scheduling--archival	
B 2147	Reserved for Scheduling--archival	
B 2148	Reserved for Scheduling--archival	
B 2149	Reserved for Scheduling--archival	
B 2150	Reserved for Scheduling--archival	
B 2151	Reserved for Scheduling--archival	
B 2152	Reserved for Scheduling--archival	
B 2153	Reserved for Scheduling--archival	
B 2154	Reserved for Scheduling--archival	
B 2155	Reserved for Scheduling--archival	
B 2156	Reserved for Scheduling--archival	
B 2157	Reserved for Scheduling--archival	
B 2158	Reserved for Scheduling--archival	
B 2159	AOCE - Park City Site	1255 Park Ave Rm 201, Park City, UT 84060
B 2160	Reserved for Scheduling--archival	
B 2161	Reserved for Scheduling--archival	
B 2162	Reserved for Scheduling--archival	
B 2163	Reserved for Scheduling--archival	
B 2164	Reserved for Scheduling--archival	
B 2165	Reserved for Scheduling--archival	
B 2166	Reserved for Scheduling--archival	
B 2167	Reserved for Scheduling--archival	
B 2168	Reserved for Scheduling--archival	
B 2169	Reserved for Scheduling--archival	
B 2170	Reserved for Scheduling--archival	
B 2171	Reserved for Scheduling--archival	
B 2172	Reserved for Scheduling--archival	
B 2173	Reserved for Scheduling--archival	
B 2174	Reserved for Scheduling--archival	
B 2175	Reserved for Scheduling--archival	
B 2176	Reserved for Scheduling--archival	
B 2177	Reserved for Scheduling--archival	
B 2178	Reserved for Scheduling--archival	
B 2179	Reserved for Scheduling--archival	
B 2180	Reserved for Scheduling--archival	
B 2181	Reserved for Scheduling--archival	
B 2182	Reserved for Scheduling--archival	
B 2183	Reserved for Scheduling--archival	
B 2184	Reserved for Scheduling--archival	
B 2185	Reserved for Scheduling--archival	
B 2186	Reserved for Scheduling--archival	
B 2187	Reserved for Scheduling--archival	
B 2188	Reserved for Scheduling--archival	
B 2189	Reserved for Scheduling--archival	
B 2190	Reserved for Scheduling--archival	
B 2191	Reserved for Scheduling--archival	
B 2192	Reserved for Scheduling--archival	
B 2193	Reserved for Scheduling--archival	
B 2194	Reserved for Scheduling--archival	
B 2196	Reserved for Scheduling--archival	
B 2197	Reserved for Scheduling--archival	
B 2198	Reserved for Scheduling--archival	
B 2199	Reserved for Scheduling--archival	
B 2200	Reserved for Scheduling--archival	
B 2201	Reserved for Scheduling--archival	
B 2202	Reserved for Scheduling--archival	
B 2203	Reserved for Scheduling--archival	
B 2204	Reserved for Scheduling--archival	
B 2205	Reserved for Scheduling--archival	
B 2206	Reserved for Scheduling--archival	
B 2207	Reserved for Scheduling--archival	
B 2208	Reserved for Scheduling--archival	
B 2209	Reserved for Scheduling--archival	
B 2210	Reserved for Scheduling--archival	
B 2211	Reserved for Scheduling--archival	
B 2212	Reserved for Scheduling--archival	
B 2213	Reserved for Scheduling--archival	
B 2214	Reserved for Scheduling--archival	
B 2215	Reserved for Scheduling--archival	
B 2216	Reserved for Scheduling--archival	
B 2217	Reserved for Scheduling--archival	
B 2218	Reserved for Scheduling--archival	
B 2219	Reserved for Scheduling--archival	
B 222	Football Indoor Facility	Salt Lake City, UT
B 2220	Reserved for Scheduling--archival	
B 2221	Reserved for Scheduling--archival	
B 2222	Reserved for Scheduling--archival	
B 2223	Reserved for Scheduling--archival	
B 2224	Reserved for Scheduling--archival	
B 2225	Reserved for Scheduling--archival	
B 2226	Reserved for Scheduling--archival	
B 2227	Reserved for Scheduling--archival	
B 2228	Reserved for Scheduling--archival	
B 2229	Reserved for Scheduling--archival	
B 2230	Reserved for Scheduling--archival	
B 2231	Reserved for Scheduling--archival	
B 2232	Reserved for Scheduling--archival	
B 2233	Reserved for Scheduling--archival	
B 2234	Reserved for Scheduling--archival	
B 2235	Reserved for Scheduling--archival	
B 2236	Reserved for Scheduling--archival	
B 2237	Reserved for Scheduling--archival	
B 2238	Reserved for Scheduling--archival	
B 2239	Reserved for Scheduling--archival	
B 2240	Reserved for Scheduling--Out of State, In USA	
B 2241	Reserved for Scheduling--archival	
B 2242	Reserved for Scheduling--archival	
B 2243	Reserved for Scheduling--archival	
B 2244	Reserved for Scheduling--archival	
B 2245	Reserved for Scheduling--archival	
B 2246	Reserved for Scheduling -  General Utah Teaching Location	
B 2247	Reserved for Scheduling--archival	
B 2248	Reserved for Scheduling--archival	
B 2249	Reserved for Scheduling--archival	
B 2250	Reserved for Scheduling--archival	
B 2251	Reserved for Scheduling--archival	
B 2252	Reserved for Scheduling--archival	
B 2253	Reserved for Scheduling--archival	
B 2254	Reserved for Scheduling--archival	
B 2255	Reserved for Scheduling--archival	
B 2256	Reserved for Scheduling--archival	
B 2257	Reserved for Scheduling--archival	
B 2258	Reserved for Scheduling--archival	
B 2259	Reserved for Scheduling--archival	
B 2260	Reserved for Scheduling--archival	
B 2261	Reserved for Scheduling--archival	
B 2262	Reserved for Scheduling--archival	
B 2263	Reserved for Scheduling--archival	
B 2264	Reserved for Scheduling--archival	
B 2265	Reserved for Scheduling--archival	
B 2266	Reserved for Scheduling--archival	
B 2267	Reserved for Scheduling--archival	
B 2268	Reserved for Scheduling--archival	
B 2269	Reserved for Scheduling--archival	
B 2270	Reserved for Scheduling--archival	
B 2271	Reserved for Scheduling--archival	
B 2272	Reserved for Scheduling--archival	
B 2273	Reserved for Scheduling--archival	
B 2274	Reserved for Scheduling--archival	
B 2275	Reserved for Scheduling--archival	
B 2276	Reserved for Scheduling--archival	
B 2277	Reserved for Scheduling--archival	
B 2278	Reserved for Scheduling--archival	
B 2279	Reserved for Scheduling--archival	
B 2302	Reserved for Scheduling--archival	
B 2303	Reserved for Scheduling--archival	
B 2304	Reserved for Scheduling--archival	
B 2305	Reserved for Scheduling--archival	
B 2306	Reserved for Scheduling--archival	
B 2307	Reserved for Scheduling--archival	
B 2308	Reserved for Scheduling--archival	
B 2309	Reserved for Scheduling--archival	
B 2310	Reserved for Scheduling--archival	
B 2311	Reserved for Scheduling--archival	
B 2312	Reserved for Scheduling--archival	
B 2313	Reserved for Scheduling--archival	
B 2314	Reserved for Scheduling--archival	
B 2315	Reserved for Scheduling--archival	
B 2316	Reserved for Scheduling--archival	
B 2317	Reserved for Scheduling--archival	
B 2318	Reserved for Scheduling--archival	
B 2319	Reserved for Scheduling--archival	
B 2320	Reserved for Scheduling--archival	
B 2321	Reserved for Scheduling--archival	
B 2322	Reserved for Scheduling--archival	
B 2323	Reserved for Scheduling--archival	
B 2324	Reserved for Scheduling--archival	
B 2325	Reserved for Scheduling--archival	
B 2326	Reserved for Scheduling--archival	
B 2327	Reserved for Scheduling--archival	
B 2328	Reserved for Scheduling--archival	
B 2329	Reserved for Scheduling--archival	
B 2330	Reserved for Scheduling--archival	
B 2331	Reserved for Scheduling--archival	
B 2332	Reserved for Scheduling--archival	
B 2334	Reserved for Scheduling--archival	
B 2335	Reserved for Scheduling--archival	
B 2336	Reserved for Scheduling--archival	
B 2337	Reserved for Scheduling--archival	
B 2338	Reserved for Scheduling--archival	
B 2339	Reserved for Scheduling--archival	
B 2340	Reserved for Scheduling--archival	
B 2341	Reserved for Scheduling--archival	
B 2342	Reserved for Scheduling--archival	
B 2343	Reserved for Scheduling--archival	
B 2344	Reserved for Scheduling--archival	
B 2345	Reserved for Scheduling--archival	
B 2346	Reserved for Scheduling--archival	
B 2347	Reserved for Scheduling--archival	
B 2348	Reserved for Scheduling--archival	
B 2349	Reserved for Scheduling--archival	
B 2350	Reserved for Scheduling--archival	
B 2351	Reserved for Scheduling--archival	
B 2352	Reserved for Scheduling--archival	
B 2354	Reserved for Scheduling--archival	
B 2355	Reserved for Scheduling--archival	
B 2356	Reserved for Scheduling--archival	
B 2357	Reserved for Scheduling--archival	
B 2358	Reserved for Scheduling--archival	
B 2380	Reserved for Scheduling--archival	
B 2381	Reserved for Scheduling--archival	
B 2382	Reserved for Scheduling--archival	
B 2383	Reserved for Scheduling--archival	
B 2384	Reserved for Scheduling--archival	
B 2443	Southern Utah Univ (now Bldg 3443)	351 W Center St, Cedar City, UT 84720
B 2444	Indian Health Clinic (now Bldg 3444)	350 S 700 E, Salt Lake City, UT 84102-2188
B 2445	Rocky Mt Eye Center (now Bldg 3445)	4400 S 700 E, Salt Lake City, UT 84107-3000
B 2446	SL County Surveyor Office (now Bldg 3446)	4500 S Main, Salt Lake City, UT 84107-3782
B 2447	Central Ut Med. Clinic (Urology) (now Bldg 3447)	1055 N 300 W, Provo, UT 84604
B 2449	Cottonwood Hospital (now Bldg 3449)	570 S 300 E, Murray, UT 84107
B 2451	LDS Hospital (now Bldg 3451)	324 10th Ave, Salt Lake City, UT 84103
B 2452	Special Education (now Bldg 3452)	2056 S 1100 E, Salt Lake City, UT 84106
B 2453	Holy Cross Clinic (now Bldg 3453)	1102 E S Temple, Salt Lake City, UT 84102
B 2457	Dugway - Cosmic Ray (now Bldg 3457)	Salt Lake City
B 2458	Remote Off Campus Sites (Now Bldg 3458)	Salt Lake City
B 2460	VA - Building #1 (now Bldg 3660)	500 S Foothill Dr, Salt Lake City, UT 84148
B 2461	Morton Thiokal (now Bldg 3461)	Salt Lake City
B 2463	VA - Building #133 (now Bldg 3463)	500 S Foothill Dr, Salt Lake City, UT 84148
B 2464	VA - Building #2 (now Bldg 3464)	500 S Foothill Dr, Salt Lake City, UT 84148
B 2465	VA - Building #14 (now Bldg 3465)	500 S Foothill Dr, Salt Lake City, UT 84148
B 2466	VA - Building #3 (now Bldg 3466)	500 S Foothill Dr, Salt Lake City, UT 84148
B 2467	VA - Building #7 (now Bldg 3467)	500 S Foothill Dr, Salt Lake City, UT 84148
B 2468	St. George Cancer Center (now Bldg 3468)	St George
B 2469	C of Nursing Birth Center  (now Bldg 3469)	5282 S Commerce Dr, Salt Lake City, UT 84107
B 2470	Birth Center (now Bldg 3470)	515 S 400 E, Salt Lake City, UT 84111
B 2471	FHP (now Bldg 3471)	Salt Lake City
B 2472	SL Regional Med Ctr (Holy Cross) (now Bldg 3472)	1050 E S Temple, Salt Lake City, UT 84102-1599
B 2473	Utah State Univ (now Bldg 2473)	1 Utah State University, Logan, UT 84322-0002
B 249	Reserved for Sugarhouse Clinic #2	Salt Lake City, UT
B 2497	Kings West Corp (now Bldg 2497)	6965 S Union Pk Ctr Ste 310, Midvale, UT 84047
B 2498	Open Imaging - Redwood (now Bldg 2498)	6243 S Redwood Rd, Taylorsville, UT 84123
B 2500	UUHN Storage (now Bldg 2500)	400 N Lavoy Dr, North Salt Lake, UT
B 282	Snowbird Ski Clinic	9385 S Snowbird Center Dr., Sandy, UT 84092
B 3000	Utah System Higher Education	60 S 400 W, Salt Lake City, UT 84101-1284
B 3001	Data Chem	960 W Lavoy Dr, Salt Lake City, UT 84123-2500
B 3002	Park City Radio	Po Box 1372, Park City, UT 84060-1372
B 3003	US Attorney's Office	185 S State Rm 400, Salt Lake City, UT 84111-1552
B 3004	Children's Behavior Therapy	668 S 1300 E, Salt Lake City, UT 84102-3244
B 3005	Neighborhood House	1050 W 500 S, Salt Lake City, UT 84104-1319
B 3006	Utah School for Deaf and Blind	1838 S 1500 E, Salt Lake City, UT 84105-3837
B 3007	Sugarhouse Boy's Club	968 Sugarmont, Salt Lake City, UT 84106-2300
B 3008	Murray Boy's Club	244 Vine St, Salt Lake City, UT 84107-4935
B 3009	Jewish Community Center	2416 E 1700 S, Salt Lake City, UT 84108-2799
B 3010	Utah Zoological Society	2600 Sunnyside Ave, Salt Lake City, UT 84108-1454
B 3011	Alcohol and Drugs	120 North, 200 West, Po Box 2604, Salt Lake City, UT 84110-2604
B 3012	Office of Legislature Research	350 N State St, Salt Lake City, UT 84114-1103
B 3013	Gerontology	1991 S 200 E, Salt Lake City, UT 84115-2138
B 3014	Rape Crisis Center	776 W 200 N, Salt Lake City, UT 84116-3312
B 3015	2nd Juvenile Court	Salt Lake City, UT
B 3016	Utah Educ Loan System	Po Box 31802, Salt Lake City, UT
B 3017	Plastic Surgery/Thomas	370 E 9th Ave. #200, Salt Lake City, UT 84103-2880
B 3018	NW Family Practice	3060 Lester, Salt Lake City, UT 84119-3099
B 3019	Plastic Surgery/Digman	24 S 1100 East #20, Salt Lake City, UT 84102-1500
B 3020	Andrology	1121 E 3900 S Suite C130, Salt Lake City, UT 84124-1261
B 3021	University Hospital Foundation	420 E S Temple #370, Salt Lake City, UT 84111-1327
B 3022	Courthouse	350 S Main, Salt Lake City, UT 84101-2106
B 3023	Utah Legal Services	254 W 400 S, Salt Lake City, UT 84101-1823
B 3024	Salt Lake Acting Company	168 W 500 N, Salt Lake City, UT 84103-1762
B 3025	Justice Bldg-Pretrial Services	424 E 500 S Ste 200, Salt Lake City, UT 84111-3337
B 3026	Utah Arts Council	617 E S Temple, Salt Lake City, UT 84102-1177
B 3027	Children's Museum of Utah	840 N 300 W, Salt Lake City, UT 84103-1413
B 3028	YWCA	322 E 300 S, Salt Lake City, UT 84111-2699
B 3029	US Attorney District of Utah	185 S Ste 400, Salt Lake City, UT 84101-1506
B 3030	Department Of Neurology	2319 South Foothill Dr, Salt Lake City, UT 84108
B 3031	HMHI Meadowbrook	3900 South 51 West, South Salt Lake, UT 84107
B 3032	Avenues Womens Center LLC	455 East South Temple, Salt Lake City, UT 84112
B 3033	Streadbeck Development	3040 West 900 South, Salt Lake City, UT 84104
B 3037	Box n lock Storage	1785 Sequoia Vista Cir., Salt Lake City, UT 84104
B 3038	Portal Warehousing Salt Lake City	1580 S 500 W, Salt Lake City, UT
B 3054	RESERVED HCI Vineyard Future Bldg	Vineyard, UT
B 3055	HCI - Comprehensive Cancer Center (TBD)	Vineyard, UT
B 3056	RESERVED HCI Vineyard Ph1B	Vineyard, UT
B 3057	RESERVED HCI Vineyard Future Bldg	Vineyard, UT
B 310	UTA Breakroom at Med TRAX Station	10 N Medical Drive, Salt Lake City, UT
B 3101	Washington Federal Bldg	181 East 6100 South, Murray, UT 84107
B 3102	163 East 6100 South Building	163 East 6100 South, Murray, UT 84107
B 3103	165/167 East 6100 South Building	165 And 167 East 6100 South, Murray, UT 84107
B 3104	Residential Lease	6007 South 200 East, Murray, UT 84107
B 3105	UNI Wellness Recovery Center	697 West 4170 South, Murray, UT 84123
B 3111	Formally State of Utah Department of Family and Child Services	6100 South Fashion Boulevard, Murray, UT 84107
B 3114	Murray Park Building	154 Myrtle Ave, Murray, UT 84107
B 3127	Heritage Secure Storage	161 Gordon Lane Unit 57, Murray, UT
B 3128	Stor em Self Storage Murray	149 E Gordon Ln, Murray, UT 84107
B 3129	IM TOSH Medical Tower	5770 South 250 East, Murray, UT 84107
B 3151	Falcon Hill Aerospace Research Park	633 Falcon Hill Drive, Clearfield, UT 84015
B 3152	Utah State Records Center Building C-6	5th St. And D St. C-6, Clearfield, UT 84105
B 3217	Smiths Ballpark	77 West 1300 South, Salt Lake City, UT
B 3237	SLCSD - West High School	Salt Lake City, UT 84103
